Titel;Autor;hkat;ukat1;Kat3;Schlagworte
Geh und spiel mit dem Riesen;Hans- Joachim Gelberg;4;25;;
Schlimmes Ende;Philip Ardagh;4;25;;
Heidi 1;Johanna Spyri;4;25;;
Heidi 2;Johanna Spyri;4;25;;
Damals im Poggenwalde;Arno Surminski;4;25;;
Benni Sprachlos;Peter Steinbach;4;25;;
Der Hund, der unterwegs zu einem Stern war;Henning Mankell;4;25;;
Pinocchio;Carlo Collodi;4;25;;
Paul Vier und die Schröders;Andreas Steinhöfel;4;25;;
Gregs Tagebuch - Von Idioten umzingelt!;Jeff Kinney;4;25;;
Warten auf Anya;Michael Morpurgo;4;25;;
DORK diaries;Rachel Renee Russell;4;25;;
Mit Jakob wurde alles anders;Kirsten Boie;4;25;;
Der kleine Nick;Sempé Goscinny;4;25;;
Der kleine Nick - und die Ferien;Sempé Goscinny;4;25;;
Der kleine Nick - und seine Bande;Sempé Goscinny;4;25;;
Der kleine Nick - und die Schule;Sempé Goscinny;4;25;;
Der kleine Nick - und die Mädchen;Sempé Goscinny;4;25;;
Die Nachtvögel;Tormod Haugen;4;25;;
Mein Bruder Jack;Joachim Hartenstein;4;25;;
Betreten verboten;Uwe-Michael Gutzschahn;4;25;;
Der Weg durch die Wand;Almut Gernhardt;4;25;;
Die blauen und die grauen Tage;Monika Feth;4;25;;
Servus Opa, sagte ich leise.;Elfie Donnelly;4;25;;
Die Zwölf vom Dachboden;Pauline Clarke;4;25;;
Der kleine Lord;Frances Burnett;4;25;;
Nachmittags im fünften Stock;I.Jaques- Buddenböhmer;4;25;;
… und dann kam Joselle;Kevin Henkes;4;25;;
Timm Thalers Puppen oder die Verkaufte Menschenliebe;James Krüss;4;25;;
Eine Art Familientreffen;Judith Kerr;4;25;;
Gespenster essen kein Sauerkraut;Gina Ruck-Pauquèt;4;25;;
Ich war eine Ratte;Philip Pullman;4;25;;
Mut zur Tat;Ina Prowe & Carl Corner;4;25;;
Kratzer im Lack;Mirjam Pressler;4;25;;
Einer zuviel im Klassenbuch;Otti Pfeiffer;4;25;;
Benvenuto heisst Willkommen;Hans Gerorg Noack;4;25;;
Goliath von nebenan;An Rutgers;4;25;;
Wenn einfach etwas geschieht;Anna-Greta Winberg;4;25;;
Erinnerung an David;Jean Ure;4;25;;
Never Alone;Ute Wegmann;4;26;;
Die Outsider;Susan E. Hinton;4;26;;
Es gibt hier nur zwei Richtungen Mister;Reinhold Ziegler;4;26;;
Ein Schatten wie ein Leopard;Myron Levoy;4;26;;
Kick it like Beckham;Narinder Dhami;4;26;;
Vorstadtkrokodile;C. Bertelsmann;4;26;;
Crash - Das Leben ist Football;Jerry Spinnelli;4;26;;
Billy Elliot;Melvin Burgess;4;26;;
der große Bingobang;Peter Carey;4;26;;
Nicht Chicago. nicht hier.;Kirsten Boie;4;26;;
Elf Freunde müßt ihr sein;Sammy Drechsel;4;26;;
Dann nehmt doch mich;Volker W. Degener;4;26;;
Manni der Libero;Peter Conradi;4;26;;
>>Halbzeit<< Fußballgeschichten;HRSG. James Riordan;4;26;;
Freak;Rodman Philbrick;4;26;;
Heinrichs Geheimnis;Jo Pestum;4;26;;
Rolltreppe abwärts;Hans-Georg Noack;4;26;;
